year,month,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
2001,11,-0.615,-0.382,-0.725,-0.601,-0.711,-0.853,-0.839,-0.227,0.077,0.004,0.201,0.171,0.382,0.4,0.396,0.264,0.275
2001,12,-0.168,0.024,-0.257,-0.302,-0.303,-0.286,-0.43,0.096,0.443,0.322,0.243,0.392,0.606,0.363,0.469,0.4,0.507
2002,1,-0.525,-0.168,-0.312,-0.539,-0.034,0.209,-0.157,0.726,0.968,0.449,0.68,0.862,0.824,0.498,0.51,0.455,0.433
2002,2,-0.18,-0.023,0.089,0.015,0.562,0.898,0.662,0.572,0.339,0.225,-0.102,0.49,0.461,0.148,0.465,0.366,0.31
2002,3,-0.068,0.001,0.236,-0.151,0.598,0.692,0.893,0.89,1.167,0.538,0.823,0.718,0.791,0.738,0.957,0.538,0.516
2002,4,0.263,0.234,0.678,0.361,1.098,1.023,1.143,1.213,1.397,0.482,0.787,0.823,0.905,0.777,0.568,0.488,0.353
2002,5,0.125,0.152,0.428,0.155,0.787,0.804,0.943,1.433,1.833,0.772,1.317,0.767,1.092,1.042,0.728,0.526,0.463
2002,6,0.178,0.15,0.363,0.236,0.757,1.251,1.034,2.076,2.751,1.386,1.506,1.733,1.383,0.876,0.418,0.389,0.44
2002,7,0.393,0.415,0.652,0.644,1.303,1.881,1.428,2.335,1.617,0.528,0.478,0.431,0.556,0.421,0.307,0.277,0.36
2002,8,0.421,0.503,0.543,0.547,1.166,1.343,1.551,2.158,1.656,0.857,0.815,0.822,0.709,0.538,0.372,0.312,0.318
2002,9,0.256,0.38,0.344,0.482,0.778,1.116,1.302,1.047,0.727,0.364,0.447,0.452,0.46,0.507,0.44,0.412,0.386
2002,10,0.377,0.259,0.343,0.521,0.806,1.088,1.438,1.232,1.196,0.817,0.575,0.42,0.393,0.408,0.315,0.347,0.546
2002,11,-0.967,-0.623,-0.867,-0.754,-0.425,-0.384,-0.343,-0.09,-0.025,-0.095,0.173,0.204,0.245,0.143,0.266,0.048,0.139
2002,12,-1.241,-0.355,-1.022,-0.595,-0.6,-0.576,-0.762,-0.709,-0.591,-0.398,-0.385,-0.184,0.017,0.218,0.381,0.29,0.457
