#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2012,1,9,12,50,1,3.5,4,0.95,12.12,6.85,286,1020.5,15.4,14.8,11.2,99,99
2012,1,9,13,50,59,2.4,2.9,0.93,11.43,6.71,278,1020.9,15.5,14.8,11.9,99,99
2012,1,9,14,50,128,1.5,1.9,0.84,12.12,6.05,279,1021.1,14.8,14.8,12.3,99,99
2012,1,9,15,50,80,1.4,2.2,0.93,12.12,7.17,286,1021.2,15.1,14.8,12.6,99,99
2012,1,9,16,50,102,1.7,2.1,0.94,12.12,7.09,269,1021.6,15.3,14.8,11.9,99,99
2012,1,9,17,50,149,1.5,2,0.91,12.12,7.26,259,1022,15.6,15,13,99,99
2012,1,9,18,50,117,1.9,2.4,0.87,11.43,7.35,273,1021.8,15.5,15.3,12,99,99
2012,1,9,19,50,95,2.2,2.8,0.82,12.12,7.57,264,1020.9,15.9,15.4,11,99,99
2012,1,9,20,50,189,2.2,2.6,0.83,10.81,7.93,241,1020.4,16,15.6,12.3,99,99
2012,1,9,21,50,191,4,4.7,0.76,12.12,8.38,239,1019.8,16,15.6,12,99,99
2012,1,9,22,50,207,5.5,6.5,0.87,11.43,9.38,225,1019.7,15.8,15.4,12.4,99,99
2012,1,9,23,50,296,3.1,4.1,0.84,12.12,7.87,248,1020.6,15.7,15.2,12.4,99,99
2012,1,10,0,50,340,2.3,2.7,0.75,11.43,7.61,274,1021,15.5,15.2,12.2,99,99
2012,1,10,1,50,1,1.2,1.7,0.74,10.81,7.82,265,1021.2,15.3,15.1,12.4,99,99
2012,1,10,2,50,353,0.6,1.2,0.8,10,8.19,259,1021.2,15.4,15.1,11.3,99,99
2012,1,10,3,50,135,0.7,0.9,0.84,19.05,8.68,219,1021.2,15.5,15,11.6,99,99
2012,1,10,4,50,23,1.2,1.6,0.85,11.43,8.95,276,1021.3,15.3,15,11.7,99,99
2012,1,10,5,50,177,0.2,0.5,0.8,21.05,8.82,151,1021.6,14.9,15.1,11.7,99,99
2012,1,10,6,50,168,0.9,1.2,0.84,21.05,9.74,320,1021.4,15.1,15,11.3,99,99
2012,1,10,7,50,143,2.5,2.8,0.8,19.05,9.73,234,1021,15.1,15,12.2,99,99
2012,1,10,8,50,177,1.4,1.9,0.95,19.05,11.41,220,1020.9,14.9,15,13,99,99
2012,1,10,9,50,193,2,2.5,0.76,19.05,9.79,302,1021,15,15,12.8,99,99
2012,1,10,10,50,238,1.6,2.1,0.9,17.39,10.79,282,1021.2,14.6,15,13,99,99
2012,1,10,11,50,264,0.8,1.2,0.82,17.39,10.43,234,1020.8,14.5,14.9,12.7,99,99
2012,1,10,12,50,48,1.7,2.2,0.96,17.39,10.9,279,1020.7,14.3,14.9,12.9,99,99
2012,1,10,13,50,95,2.8,3.4,0.99,16,10.71,271,1020.4,14.3,14.9,13.6,99,99
2012,1,10,14,50,119,2.3,2.8,1.03,16,10.97,253,1020.3,14.4,14.9,13,99,99
2012,1,10,15,50,112,2.5,3,1.07,17.39,11.18,250,1020.5,14.7,14.9,13,99,99
2012,1,10,16,50,101,2.7,3.2,1.21,17.39,11.1,286,1021.2,14.7,14.9,12.1,99,99
2012,1,10,17,50,98,2.4,3,1.13,16,10.76,274,1021.6,14.7,14.9,10.9,99,99
2012,1,10,18,50,99,3,3.5,1.16,16,11.18,275,1021,14.5,15.1,13.4,99,99
2012,1,10,19,50,98,3.2,3.7,1.06,16,10.99,245,1019.9,14.5,15.2,13.5,99,99
