"Year","Observer","Plot","LayingSequence","Length","Width","Size"
2015,NA,"LC","Egg1",51.4,35.2,1809.28
2015,NA,"BH","Egg1",55,36.9,2029.5
2015,NA,"LC","Egg1",49.8,33.8,1683.24
2015,NA,"LC","Egg1",53.1,35.8,1900.98
2015,NA,"LC","Egg1",54.1,34.6,1871.86
2015,NA,"APNC","Egg1",52.5,35.7,1874.25
2015,NA,"CC","Egg1",56.3,36.4,2049.32
2015,NA,"DO","Egg1",52.5,35.6,1869
2015,NA,"CC","Egg1",51.5,34.7,1787.05
2015,NA,"CC","Egg1",52.2,37.1,1936.62
2015,NA,"APNC","Egg1",53,35.7,1892.1
2015,NA,"APNC","Egg1",51.6,33.9,1749.24
2015,NA,"DO","Egg1",52.5,35.4,1858.5
2015,NA,"CC","Egg1",54.2,35.7,1934.94
2015,NA,"CC","Egg1",51.8,35,1813
2015,NA,"CC","Egg1",52.4,35.9,1881.16
2015,NA,"CC","Egg1",50.4,36,1814.4
2015,NA,"APNC","Egg1",53,34.2,1812.6
2015,NA,"DO","Egg1",53.4,34.5,1842.3
2015,NA,"LC","Egg1",53.7,33.3,1788.21
2015,NA,"LC","Egg1",54.8,34.5,1890.6
2015,NA,"CC","Egg1",53.4,35.2,1879.68
2015,NA,"DO","Egg1",52.2,35.1,1832.22
2015,NA,"LC","Egg1",54.4,36.3,1974.72
2015,NA,"LC","Egg1",54.5,35.9,1956.55
2015,NA,"APNC","Egg1",54.9,35.1,1926.99
2015,NA,"LC","Egg1",52.1,34.3,1787.03
2015,NA,"LC","Egg1",54,33.9,1830.6
2015,NA,"CC","Egg1",51.8,35.7,1849.26
2015,NA,"CC","Egg1",55.2,35.2,1943.04
2015,NA,"CC","Egg1",53.6,34.9,1870.64
2015,NA,"APNC","Egg1",52.1,35.5,1849.55
2015,NA,"DO","Egg1",56.4,36.1,2036.04
2015,NA,"BH","Egg1",55.7,36.2,2016.34
2015,NA,"LC","Egg1",56.4,36.1,2036.04
2015,NA,"LC","Egg1",55.1,35.7,1967.07
2015,NA,"LC","Egg1",50.8,34.8,1767.84
2015,NA,"LC","Egg1",52.4,35.3,1849.72
2015,NA,"CC","Egg1",54.3,37.5,2036.25
2015,NA,"CC","Egg1",55.8,36.2,2019.96
2015,NA,"CC","Egg1",52.4,33.9,1776.36
2015,NA,"CC","Egg1",54.9,36.5,2003.85
2015,NA,"CC","Egg1",54.9,35.1,1926.99
2015,NA,"APNC","Egg1",52.8,35.2,1858.56
2015,NA,"APNC","Egg1",51.2,35.5,1817.6
2015,NA,"DO","Egg1",56,36.4,2038.4
2015,NA,"DO","Egg1",51.8,35.2,1823.36
2015,NA,"DO","Egg1",52.6,35.9,1888.34
2015,NA,"LC","Egg1",54.1,35.4,1915.14
2015,NA,"LC","Egg1",54.2,34.9,1891.58
2015,NA,"LC","Egg1",55.7,36.2,2016.34
2015,NA,"LC","Egg1",56.8,34,1931.2
2015,NA,"LC","Egg1",53.7,36.5,1960.05
